polarity,title,review,review_length
1,A timeless and universal masterpiece,chaplin best makes laugh cry time final scene sublime moment cinema ever produced,81
1,Sweet CD!!,one best cds listned to.they also realy good dj.he even song cure itch .the best songs papercut one step closer aplace head forgoten cure itch .this cd u listen never get tired it.ifyou like limp bizkit probubly like one,220
0,inutil,dinero tirado la basura el sistema de sujeción sujeta sirve para nada sirve sirve sirve sirve sirve sirve sirve sirve sirve sirve sirve sirve sirve,147
0,"ONLY 1 Battery, not as shown",thought per photo 'd getting 2 batteries got one price 5 yes merchants selling 5 packs price hope worth price cz certainly worth returning,138
1,MoMs Favorite,little worried seeing negative reviews got package pleased ordering,67
0,Buy the Dual Disc,n't waste money cd buy dual disc version songs bo 's singing terrible almost every song wrong wrong love good song valley angels written however get dual disc play dvd side sings songs wrote bo bice fan going disappointed cd songs happy dvd songs show really,258
0,Great acting but terrible cheap sets.,movie great acting ruined cheap production cheap looking sets give chills somehow b-movie production values ruin effect,119
1,A Good Story,ebony tree could seem real 's wholesome story see 'sugar coating read women novel went welfare children keep hopes dreams alive.the story tugged heart made think mother grandmothers.it 's novel hold onto enjoy reading,217
0,Disappointing,within first year take machine vacuum repair shop unclog hoses get work repair tech helpful told us run hot clean water machine every use prevent clogging inconvenient,167
1,A practical and safe product to have,bought daughter college student concern mainly safety issues lowest priced product category daughter loves compact rather good looking convenient safe operate furthermore shipping cost happy purchase.if need beeter looking product expensive ones available amazon.com home use one,279
0,One word for this cd.........BLAH!,dissappointed song 808 anything close version played radio bought cd begin felt misled consumer rest cd seemed ok would recommend friends,137
0,It took me 2 years to read this book,big fan belgariad malloreon enjoy belgarath sorceror never read boring fantasy book one wife teased would never finish read nothing else read major disappointment reading redemption althatus sp happy see eddings still capable writing good story point fantasy genre especially sequels end,287
1,insight into using public relations,ries 's really knock ad agencies advertising general make point one also gets sense happy clients listen them.definitely worthwhile read one interested marketing,161
1,Why I love this DVD,dvd popular episodes flinstones christmas completes flintstones collection flintstones always favourate tv cartoon series,121
0,Dexter,disappointed ordered dexter received went watch disc 1 would work returned dvd sent replacement dvd went watch disc 1 would play still able watch dexter season 3 process returning second dvd received anyone else problem,219
0,Product is not as advertised!!,says box 27.5 x 24.5 x 14 high barely 11 inches high battery tall otherwise box well made advertised size careful,113
